City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,coahuayana de hidalgo,18.7,-103.6583,23.8,90,98,1.62,MX,1736901679
134,grytviken,-54.2811,-36.5092,6.74,56,100,1.15,GS,1736901680
135,avarua,-21.2078,-159.775,27.03,74,40,4.63,CK,1736901680
136,gallup,35.5281,-108.7426,1.91,27,0,2.06,US,1736901429
137,juruti,-2.1522,-56.0922,27.61,64,100,1.9,BR,1736901680
138,doctor arroyo,23.6667,-100.1833,14.94,65,85,2.5,MX,1736901680
139,chul'man,56.8479,124.9104,-29.34,97,100,1.54,RU,1736901680
140,mapimi,25.8167,-103.85,11.87,40,4,2.33,MX,1736901680
141,naze,28.3667,129.4833,14.51,70,100,2.65,JP,1736901681
142,puerto natales,-51.7236,-72.4875,8.81,73,91,2.86,CL,1736901681
143,mossel bay,-34.1831,22.146,15.96,65,100,9.67,ZA,1736901681
144,iqaluit,63.7506,-68.5145,-20.15,76,75,0.0,CA,1736901681
145,richards bay,-28.783,32.0377,24.57,83,69,7.82,ZA,1736901682
146,gaiman,-43.2897,-65.4929,21.11,26,0,9.65,AR,1736901682
147,myeik,12.4333,98.6,20.85,55,83,2.23,MM,1736901682
148,balabac,7.9868,117.0645,27.78,79,100,7.5,PH,1736901682
149,barguzin,53.6167,109.6167,-5.73,87,94,5.62,RU,1736901682
150,fortuna,40.5982,-124.1573,11.66,78,0,2.57,US,1736901682
151,metlili chaamba,32.2667,3.6333,4.73,61,42,3.08,DZ,1736901682
152,erdenet,49.0333,104.0833,-19.88,80,11,2.63,MN,1736901682
153,hamilton,39.1834,-84.5333,-6.87,69,90,2.24,US,1736901049
154,chonchi,-42.6128,-73.8092,13.4,92,100,1.55,CL,1736901683
155,mutoko,-17.397,32.2268,19.43,74,98,0.55,ZW,1736901683
156,chamba,32.5667,76.1333,8.54,18,0,4.87,IN,1736901683
157,palopo,-2.9996,120.1921,24.71,91,100,1.34,ID,1736901684
158,atafu village,-8.5421,-172.5159,27.05,81,92,5.41,TK,1736901684
159,vorgashor,67.5833,63.95,-9.43,96,100,3.77,RU,1736901684
160,port isabel,26.0734,-97.2086,13.34,95,100,4.12,US,1736901684
161,guerrero negro,27.9769,-114.0611,15.37,36,0,3.58,MX,1736901684
162,nagqu,31.5,92.0,-22.57,79,73,1.24,CN,1736901684
163,balqash,46.8481,74.995,-14.74,91,6,3.22,KZ,1736901684
164,stanley,54.868,-1.6985,7.01,93,100,5.66,GB,1736901685
165,mount gambier,-37.8333,140.7667,20.43,55,41,6.78,AU,1736901638
166,lihue,21.9789,-159.3672,26.77,69,0,4.63,US,1736901685
167,uniontown,39.9001,-79.7164,-7.23,51,100,3.9,US,1736901538
168,talnakh,69.4865,88.3972,-18.4,95,99,3.77,RU,1736901685
169,alice springs,-23.7,133.8833,32.75,24,100,8.23,AU,1736901686
170,piton saint-leu,-21.2196,55.3151,24.06,73,0,2.57,RE,1736901686
171,pauini,-7.7136,-66.9764,23.63,94,98,0.9,BR,1736901686
172,afaahiti,-17.75,-149.2833,24.55,86,100,9.98,PF,1736901686
